OCSVM BA: 0.9703, ROC AUC: 0.9914
Epoch 1/20, Loss: 259.9895172044635
Epoch 2/20, Loss: 259.8853299841285
Epoch 3/20, Loss: 259.9942898005247
Epoch 4/20, Loss: 259.75701430253685
Epoch 5/20, Loss: 259.84101217240095
Epoch 6/20, Loss: 260.20923259854317
Epoch 7/20, Loss: 260.06119629740715
Epoch 8/20, Loss: 259.78521159663796
Epoch 9/20, Loss: 259.7699579875916
Epoch 10/20, Loss: 259.87693137302995
Epoch 11/20, Loss: 259.84820172190666
Epoch 12/20, Loss: 259.8846728503704
Epoch 13/20, Loss: 260.68675361573696
Epoch 14/20, Loss: 259.8098025470972
Epoch 15/20, Loss: 260.2107227370143
Epoch 16/20, Loss: 259.8389320746064
Epoch 17/20, Loss: 259.8136370033026
Epoch 18/20, Loss: 259.89274971559644
Epoch 19/20, Loss: 259.8749532625079
Epoch 20/20, Loss: 259.7866425551474
DeepSVDD Arch [32, 16]: BA: 0.9622, ROC AUC: 0.9893
Epoch 1/20, Loss: 546.4460265189409
Epoch 2/20, Loss: 546.5070743560791
Epoch 3/20, Loss: 546.3411477580667
Epoch 4/20, Loss: 546.3540059775114
Epoch 5/20, Loss: 546.3919983357191
Epoch 6/20, Loss: 546.9793899804354
Epoch 7/20, Loss: 546.4865350425243
Epoch 8/20, Loss: 547.2985950261354
Epoch 9/20, Loss: 546.6954830735922
Epoch 10/20, Loss: 546.371529340744
Epoch 11/20, Loss: 546.3761056065559
Epoch 12/20, Loss: 546.674635797739
Epoch 13/20, Loss: 546.4599829316139
Epoch 14/20, Loss: 546.7968267798424
Epoch 15/20, Loss: 546.9121716916561
Epoch 16/20, Loss: 546.3643390089273
Epoch 17/20, Loss: 546.4305358976126
Epoch 18/20, Loss: 546.6899310648441
Epoch 19/20, Loss: 546.3176187649369
Epoch 20/20, Loss: 547.0821461379528
DeepSVDD Arch [64, 32]: BA: 0.9595, ROC AUC: 0.9848
Epoch 1/20, Loss: 114.45132542401552
Epoch 2/20, Loss: 112.10206835716963
Epoch 3/20, Loss: 113.17045393586159
Epoch 4/20, Loss: 108.00404312089086
Epoch 5/20, Loss: 105.5180399119854
Epoch 6/20, Loss: 112.51302918791771
Epoch 7/20, Loss: 113.38701604679227
Epoch 8/20, Loss: 111.78481818921864
Epoch 9/20, Loss: 110.07176457345486
Epoch 10/20, Loss: 117.21046006307006
Epoch 11/20, Loss: 109.20901611819863
Epoch 12/20, Loss: 111.74326479807496
Epoch 13/20, Loss: 113.44407272897661
Epoch 14/20, Loss: 116.47153326682746
Epoch 15/20, Loss: 109.94294169545174
Epoch 16/20, Loss: 110.84079854562879
Epoch 17/20, Loss: 113.789287250489
Epoch 18/20, Loss: 115.29327476397157
Epoch 19/20, Loss: 115.72402684390545
Epoch 20/20, Loss: 113.5942633152008
DeepSVDD Arch [128, 64, 32]: BA: 0.9684, ROC AUC: 0.9897
