Document,Date,SalePrice,PropertyID,PropertyType,ym,zhvi_px,zhvi_idx,AdjSalePrice,NbrLivingUnits,SqFtLot,SqFtTotLiving,SqFtFinBasement,Bathrooms,Bedrooms,BldgGrade,YrBuilt,YrRenovated,TrafficNoise,LandVal,ImpsVal,ZipCode,NewConstruction
1,16/09/2014,280000,1000102,Multiplex,01/09/2014,405100,0.930836397,300805,2,9373,2400,0,3,6,7,1991,0,0,70000,229000,98002,FALSE
2,16/06/2006,1000000,1200013,Single Family,01/06/2006,404400,0.929227941,1076162,1,20156,3764,1452,3.75,4,10,2005,0,0,203000,590000,98166,TRUE
3,29/01/2007,745000,1200019,Single Family,01/01/2007,425600,0.977941176,761805,1,26036,2060,900,1.75,4,8,1947,0,0,183000,275000,98166,FALSE
4,25/02/2008,425000,2800016,Single Family,01/02/2008,418400,0.961397059,442065,1,8618,3200,1640,3.75,5,7,1966,0,0,104000,229000,98168,FALSE
5,29/03/2013,240000,2800024,Single Family,01/03/2013,351600,0.807904412,297065,1,8620,1720,0,1.75,4,7,1948,0,0,104000,205000,98168,FALSE
6,30/03/2009,349900,3600090,Townhouse,01/03/2009,369800,0.849724265,411781,1,1012,930,0,1.5,2,8,2008,0,0,170000,207000,98144,TRUE
7,28/08/2013,327500,3800004,Single Family,01/08/2013,374300,0.860064338,380785,1,34465,1750,0,1.5,3,8,1961,0,0,165000,227000,98178,FALSE
8,24/05/2007,347000,3800009,Single Family,01/05/2007,432100,0.992876838,349489,1,14659,1860,620,1.75,4,7,1963,0,0,115000,154000,98178,FALSE
9,22/09/2006,220400,6600055,Single Family,01/09/2006,414800,0.953125,231239,1,5324,990,0,1,2,6,1930,0,3,90000,75000,98032,FALSE
10,22/08/2006,437500,7200080,Multiplex,01/08/2006,411100,0.944623162,463148,2,10585,1980,0,2,4,6,1924,0,0,124000,116000,98055,FALSE
11,16/10/2014,150000,7200179,Single Family,01/10/2014,407400,0.936121324,160236,1,12750,840,0,1,2,6,1925,0,0,133000,73000,98055,FALSE
12,14/01/2010,300000,7400054,Single Family,01/01/2010,350800,0.806066176,372178,1,5200,1750,600,1,3,7,1958,0,1,100000,172000,98118,FALSE
13,26/06/2008,292000,7400062,Single Family,01/06/2008,403200,0.926470588,315175,1,5240,790,0,1,2,6,1925,0,1,100000,152000,98118,FALSE
14,21/05/2014,299800,7400062,Single Family,01/05/2014,398100,0.914751838,327739,1,5240,790,0,1,2,6,1925,0,1,100000,152000,98118,FALSE
16,25/09/2006,605000,7600093,Single Family,01/09/2006,414800,0.953125,634754,1,7320,2120,0,2.75,3,8,1901,0,0,261000,422000,98122,FALSE
18,24/02/2007,425000,7600203,Single Family,01/02/2007,427800,0.982996324,432352,1,3485,2620,1060,1.5,4,7,1920,0,0,235000,373000,98122,FALSE
20,14/03/2006,455000,9000210,Single Family,01/03/2006,392100,0.900965074,505014,1,5253,1500,750,1.75,3,6,1919,0,0,333000,117000,98115,FALSE
21,09/11/2007,495000,10000060,Single Family,01/11/2007,428400,0.984375,502857,1,4600,2070,1000,2.25,3,7,1909,0,0,212000,366000,98116,FALSE
22,05/06/2013,279500,11000040,Single Family,01/06/2013,366100,0.841222426,332255,1,27229,3020,1510,3,3,6,2000,0,0,142000,189000,98001,FALSE
23,20/03/2008,400000,11000041,Single Family,01/03/2008,415100,0.953814338,419369,1,24034,2370,1080,2,4,8,1960,0,0,139000,200000,98001,FALSE
24,21/11/2007,530500,11200070,Single Family,01/11/2007,428400,0.984375,538921,1,3296,1530,0,2.5,3,8,1998,0,0,269000,209000,98007,FALSE
25,28/08/2006,490000,11200370,Single Family,01/08/2006,411100,0.944623162,518725,1,3696,1530,0,2.5,3,8,1998,0,0,269000,216000,98007,FALSE
26,12/09/2012,608000,11500050,Single Family,01/09/2012,329600,0.757352941,802796,1,13349,2780,0,2.5,3,10,1990,0,1,255000,480000,98052,FALSE
27,02/09/2008,630000,11500270,Single Family,01/09/2008,394900,0.907398897,694292,1,8186,2420,0,2.5,3,10,1992,0,0,269000,432000,98052,FALSE
28,21/04/2008,635000,11500510,Single Family,01/04/2008,411700,0.946001838,671246,1,9093,2280,0,2.5,4,10,1990,0,1,255000,416000,98052,FALSE
29,25/08/2009,520000,11500510,Single Family,01/08/2009,352600,0.810202206,641815,1,9093,2280,0,2.5,4,10,1990,0,1,255000,416000,98052,FALSE
30,17/12/2012,730000,11500890,Single Family,01/12/2012,339400,0.779871324,936052,1,8750,3130,0,2.5,3,10,1991,0,0,269000,514000,98052,FALSE
31,01/07/2010,605000,11501310,Single Family,01/07/2010,342800,0.787683824,768075,1,9055,3060,600,3.25,3,10,1994,0,0,281000,511000,98052,FALSE
32,03/04/2006,778000,11501330,Single Family,01/04/2006,396500,0.911075368,853936,1,10223,3190,630,3.5,3,10,1994,0,0,269000,529000,98052,FALSE
33,07/01/2011,635000,11510310,Single Family,01/01/2011,328100,0.75390625,842280,1,13412,3130,990,2.75,4,9,1993,0,0,281000,433000,98052,FALSE
34,23/02/2006,569950,11510360,Single Family,01/02/2006,387600,0.890625,639944,1,9021,2660,0,2.5,3,9,1992,0,0,269000,394000,98052,FALSE
